,,,GGBS ,,,,,,,Fly Ash,,,,,,,Silica Fume,,,,,,,Na(OH) content and composition,,Na2SiO3 content and composition,Aggregates Composition,,,Ratio,,,,Curing Conditions,,,Sample Dimensions,,,Compressive Strength,
Paper_ID,Title,Mix_ID,GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
,,FA30,291.9,36.82,26.75,19.66,11.1,0.32,2.65,125.1,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,58.11,66.86
,,FA40,250.2,36.82,26.75,19.66,11.1,0.32,2.65,166.8,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,47.62,60.39
,,FA60,166.8,36.82,26.75,19.66,11.1,0.32,2.65,250.2,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,43.72,56.15
,,SF05,396.2,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,20.8,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,63.92,67.53
,,SF10,375.3,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,41.7,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,66.1,71.39
,,SF15,354.5,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,62.5,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,59.49,62.42
https://doi.org/10.1016/j.conbuildmat.2023.134376,Mechanical properties of fly ash and silica fume based geopolymer concrete made with magnetized water activato,M1,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,49,16,114,1170,630,42.8,0.4,0.1,0,2,100,,Heat,100,100,100,26,33.1
,,M2 ,0,0,0,0,0,0,0,385,1.19,60.25,28.57,0.24,4.99,0.04,43,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1170,630,42.8,0.4,0.1,0,2.5,100,,Heat,100,100,100,30,35.5
,,M3 ,0,0,0,0,0,0,0,342,1.19,60.25,28.57,0.24,4.99,0.04,86,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1170,630,42.8,0.4,0.1,0,3,100,,Heat,100,100,100,33.5,38.5
,,M4,0,0,0,0,0,0,0,300,1.19,60.25,28.57,0.24,4.99,0.04,128,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1170,630,42.8,0.4,0.1,0,2.5,100,,Heat,100,100,100,28.5,34
