GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
400.0,38.8,33.8,14.8,7.09,0.62,2.49,0.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,74.0,1068.0,712.0,133.0,0.45,0.33,4.0,1.5,21.0,90.0,0,100.0,100.0,100.0,48.0,63.1
128.0,43.17,31.65,12.4,5.8,0.37,0.98,298.0,2.36,54.99,28.72,0.37,3.05,0.12,0.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,20.7,36.6
170.0,43.17,31.65,12.4,5.8,0.37,0.98,256.0,2.36,54.99,28.72,0.37,3.05,0.12,0.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,24.5,39.2
213.0,43.17,31.65,12.4,5.8,0.37,0.98,213.0,2.36,54.99,28.72,0.37,3.05,0.12,0.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,26.0,41.8
256.0,43.17,31.65,12.4,5.8,0.37,0.98,170.0,2.36,54.99,28.72,0.37,3.05,0.12,0.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,24.7,38.2
213.0,43.17,31.65,12.4,5.8,0.37,0.98,191.0,2.36,54.99,28.72,0.37,3.05,0.12,22.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,27.1,43.2
213.0,43.17,31.65,12.4,5.8,0.37,0.98,170.0,2.36,54.99,28.72,0.37,3.05,0.12,43.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,30.1,49.2
213.0,43.17,31.65,12.4,5.8,0.37,0.98,149.0,2.36,54.99,28.72,0.37,3.05,0.12,64.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,33.3,52.2
213.0,43.17,31.65,12.4,5.8,0.37,0.98,127.0,2.36,54.99,28.72,0.37,3.05,0.12,86.0,0.4,93.74,0.19,0.17,0.95,0.34,61.0,12.0,152.0,1108.0,596.0,0.0,0.5,0.0,0.0,2.5,24.0,65.0,0,150.0,150.0,150.0,28.7,47.5
500.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,4.3,10.0,193.9,1104.0,621.0,65.8,0.4,0.13,4.0,2.0,20.0,65.0,0,100.0,100.0,100.0,67.55,73.19
