GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,Relative Humidity,CS 7 day (Mpa),CS 28 day (Mpa),Total_Binders,Total_SiO2,Total_CaO,Total_Al2O3,SiO2 / Al2O3,CaO / Al2O3,CaO / SiO2
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,10.16,10.0,150.75,1067.0,661.44,0.6,0.4,0.0,80.0,34.0,107.1,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,8.13,10.0,120.6,1099.0,661.44,0.6,0.4,0.0,80.0,34.0,112.4,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1099.0,661.44,0.6,0.4,0.0,80.0,34.0,98.62,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1067.0,682.11,0.6,0.4,0.0,80.0,34.0,107.25,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,10.45,10.0,79.95,1163.0,682.11,0.6,0.35,0.0,80.0,34.0,103.5,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,13.72,10.0,53.3,1132.0,682.11,0.6,0.35,0.0,80.0,34.0,78.2,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
88.0,56.1,21.0,17.0,293.0,2.6,46.0,33.0,0.0,0.0,0.0,143.3,6.0,71.7,1005.0,760.0,0.55,0.42,0.0,80.0,34.0,62.54,381.0,40.2257217847769,14.956955380577428,29.304461942257216,1.3726824899238692,1.3726824899238692,0.37182565574840143
88.0,56.1,21.0,17.0,293.0,2.6,46.0,33.0,0.0,0.0,0.0,107.5,6.0,107.5,1005.0,760.0,0.55,0.4,0.0,60.0,10.4,37.4,381.0,40.2257217847769,14.956955380577428,29.304461942257216,1.3726824899238692,1.3726824899238692,0.37182565574840143
88.0,56.1,21.0,17.0,293.0,2.6,46.0,33.0,0.0,0.0,0.0,143.3,4.0,71.7,1005.0,760.0,0.55,0.44,0.0,60.0,12.8,26.6,381.0,40.2257217847769,14.956955380577428,29.304461942257216,1.3726824899238692,1.3726824899238692,0.37182565574840143
88.0,56.1,21.0,17.0,293.0,2.6,46.0,33.0,0.0,0.0,0.0,107.5,4.0,107.5,1005.0,760.0,0.55,0.42,0.0,60.0,12.9,29.9,381.0,40.2257217847769,14.956955380577428,29.304461942257216,1.3726824899238692,1.3726824899238692,0.37182565574840143
